Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
91,Get On Up,Uni.,"$30,703,100","2,469","$13,585,915","2,468",8/1,9/18
92,3 Days to Kill,Rela.,"$30,697,999","2,872","$12,242,218","2,872",2/21,5/15
93,Deliver Us From Evil,SGem,"$30,577,122","3,049","$9,740,471","3,049",7/2,8/10
94,When the Game Stands Tall,TriS,"$30,127,963","2,766","$8,381,509","2,673",8/22,11/2
95,Draft Day,LG/S,"$28,842,237","2,781","$9,783,603","2,781",4/11,6/19
96,Oculus,Rela.,"$27,695,246","2,648","$12,005,402","2,648",4/11,6/26
97,The Best of Me,Rela.,"$26,766,213","2,936","$10,003,827","2,936",10/17,1/15
98,A Walk Among the Tombstones,Uni.,"$26,307,600","2,714","$12,758,780","2,712",9/19,10/23
99,That Awkward Moment,Focus,"$26,068,955","2,809","$8,742,109","2,809",1/31,4/3
100,Boyhood,IFC,"$25,352,281",775,"$387,618",5,7/11,3/22
Summary of 702 Movies on Chart:
Totals:,"$10,435,427,977",-,-,-,-,-
Averages:,"$14,865,282",-,-,-,-,-
""
Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
101,Top Five,Par.,"$25,317,379","1,426","$6,896,593",979,12/12,2/5
102,The November Man,Rela.,"$25,018,119","2,776","$7,911,597","2,776",8/27,10/30
103,Endless Love (2014),Uni.,"$23,438,250","2,896","$13,307,125","2,896",2/14,3/20
104,Pompeii,TriS,"$23,219,748","2,658","$10,340,823","2,658",2/21,4/20
105,Transcendence,WB,"$23,022,309","3,455","$10,886,386","3,455",4/18,6/19
106,As Above/So Below,Uni.,"$21,321,100","2,650","$8,632,820","2,640",8/29,10/9
107,Brick Mansions,Rela.,"$20,396,829","2,647","$9,516,855","2,647",4/25,7/3
108,"I, Frankenstein",LGF,"$19,075,290","2,753","$8,610,441","2,753",1/24,3/20
109,The Legend of Hercules,LG/S,"$18,848,538","2,104","$8,868,318","2,104",1/10,3/13
110,Bears,BV,"$17,780,194","1,790","$4,776,267","1,720",4/18,7/17
111,Addicted,LGF,"$17,390,770","1,037","$7,485,346",846,10/10,12/4
112,A Haunted House 2,ORF,"$17,329,486","2,310","$8,843,875","2,310",4/18,6/12
113,A Most Wanted Man,RAtt.,"$17,237,855",801,"$2,687,227",361,7/25,11/13
114,Begin Again,Wein.,"$16,170,632","1,302","$134,064",5,6/27,10/16
