Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
125,The Gunman,ORF,"$10,664,749","2,816","$5,028,702","2,816",3/20,4/30
126,Unfinished Business,Fox,"$10,219,501","2,777","$4,772,613","2,777",3/6,4/16
127,The Walk,TriS,"$10,137,502","2,509","$1,560,299",448,9/30,11/8
128,The Lady in the Van,SPC,"$10,021,175",602,N/A,N/A,12/4,6/9
129,Un Gallo con Muchos Huevos,LGF,"$9,080,818",616,"$3,424,702",395,9/4,10/22
130,Amy,A24,"$8,413,144",435,"$222,500",6,7/3,1/14
131,Bajrangi Bhaijaan,Eros,"$8,178,001",257,"$2,621,282",257,7/17,9/10
132,Dragon Ball Z: Resurrection 'F',FUN,"$8,008,363",913,"$1,817,937",183,8/4,8/17
133,Blackhat,Uni.,"$8,005,980","2,568","$3,901,815","2,567",1/16,2/5
134,Trumbo (2015),BST,"$7,857,741",660,"$74,177",5,11/6,3/3
135,Mortdecai,LGF,"$7,696,134","2,648","$4,200,586","2,648",1/23,2/19
136,While We're Young,A24,"$7,587,485",762,"$227,688",4,3/27,6/28
137,I'll See You In My Dreams,BST,"$7,449,681",290,"$52,091",3,5/15,9/10
138,The Green Inferno,HTR,"$7,192,291","1,543","$3,520,626","1,540",9/25,11/5
139,Our Brand Is Crisis (2015),WB,"$7,002,261","2,202","$3,238,433","2,202",10/30,12/17
140,Grandma (2015),SPC,"$6,980,524","1,061","$115,540",4,8/21,3/3
141,Me and Earl and the Dying Girl,FoxS,"$6,758,416",870,"$196,496",15,6/12,9/10
142,Baahubali: The Beginning,BSC,"$6,738,000",236,"$3,575,000",236,7/9,7/23
143,Bajirao Mastani,Eros,"$6,557,047",304,"$1,744,975",304,12/18,2/7
144,Little Boy,ORF,"$6,485,961","1,045","$2,750,356","1,045",4/24,6/18
145,The Loft,ORF,"$6,002,684","1,841","$2,747,342","1,841",1/30,2/26
146,Victor Frankenstein,Fox,"$5,775,076","2,797","$2,469,341","2,797",11/25,12/31
147,Danny Collins,BST,"$5,637,066",739,"$72,459",5,3/20,6/4
148,Dilwale,UTV,"$4,871,263",268,"$1,920,402",268,12/17,1/21
149,90 Minutes in Heaven,Gold.,"$4,842,699",899,"$2,035,273",878,9/11,11/1
150,True Story,FoxS,"$4,719,695",856,"$1,950,214",831,4/17,6/4
151,Suffragette,Focus,"$4,702,420",517,"$76,244",4,10/23,1/14
152,Prem Ratan Dhan Payo,FIP,"$4,364,639",287,"$2,425,585",287,11/12,12/3
153,45 Years,IFC,"$4,247,285",251,"$65,775",3,12/23,4/7
154,The Water Diviner,WB,"$4,196,641",385,"$1,220,335",320,4/24,7/1
155,Irrational Man,SPC,"$4,030,360",925,"$175,312",7,7/17,11/5
156,Anomalisa,Par.,"$3,759,286",573,"$135,222",4,12/30,3/24
157,Scouts Guide to the Zombie Apocalypse,Par.,"$3,703,046","1,509","$1,841,007","1,509",10/30,11/19
158,A La Mala,LGF,"$3,629,842",384,"$1,402,118",384,2/27,4/2
159,Spare Parts,LGF,"$3,618,912",440,"$1,335,768",440,1/16,3/5
160,We Are Your Friends,WB,"$3,591,417","2,333","$1,767,308","2,333",8/28,9/24
161,What We Do in the Shadows,U/P,"$3,469,224",154,"$88,940",5,2/13,11/12
162,Learning to Drive,BG,"$3,447,633",339,"$66,015",4,8/21,11/26
163,Phoenix (2015),IFC,"$3,184,472",197,"$30,296",2,7/24,11/15
164,Wild Tales,SPC,"$3,106,530",122,"$85,100",4,2/20,7/12
165,Dil Dhadakne Do,Eros,"$3,066,100",238,"$1,326,267",238,6/5,7/12
166,Ladrones,LGF,"$3,063,505",375,"$1,411,031",375,10/9,11/19
167,Tanu Weds Manu Returns,Eros,"$3,044,347",136,"$1,006,476",136,5/22,7/12
168,Rock The Kasbah,ORF,"$3,020,664","2,012","$1,470,592","2,012",10/23,11/26
169,The End of the Tour,A24,"$3,002,884",355,"$123,238",4,7/31,12/24
170,Youth,FoxS,"$2,703,296",149,"$78,085",4,12/4,3/10
171,He Named Me Malala,FoxS,"$2,668,936",477,"$61,808",4,10/2,12/24
172,Chi-Raq,RAtt.,"$2,653,032",305,"$1,198,453",305,12/4,1/28
173,Captive (2015),Par.,"$2,583,301",807,"$1,393,243",806,9/18,10/8
174,Truth,SPC,"$2,541,854","1,122","$66,232",6,10/16,2/11
175,Mistress America,FoxS,"$2,500,431",512,"$93,206",4,8/14,11/12
176,Pawn Sacrifice,BST,"$2,436,633",781,"$202,053",33,9/16,12/17
177,2015 Oscar Nominated Short Films,Shrts.,"$2,412,593",280,"$416,850",118,1/30,3/19
178,Meru,MBox,"$2,334,228",176,"$91,279",7,8/14,11/19
179,WARx2,WARX2,"$2,310,625",16,"$30,931",1,9/18,-
180,My All American,CE,"$2,246,000","1,565","$1,365,000","1,565",11/13,11/29
181,Jem and the Holograms,Uni.,"$2,184,640","2,417","$1,375,320","2,413",10/23,11/5
182,Tamasha,UTV,"$2,065,487",182,"$1,006,059",182,11/25,12/10
183,Cake,CLF,"$1,951,776",482,"$916,179",482,1/23,2/19
184,Old Fashioned,Free,"$1,914,090",298,"$38,965",3,2/6,3/19
185,Assassination (2015),WGUSA,"$1,904,682",33,"$287,700",33,8/7,10/4
186,Game of Thrones (IMAX),WB,"$1,896,092",205,"$1,464,932",205,1/30,2/5
187,Legend,Uni.,"$1,872,994",107,"$86,836",4,11/20,1/7
188,Clouds of Sils Maria,IFC,"$1,851,517",187,"$61,810",3,4/10,7/16
189,Testament of Youth,SPC,"$1,822,250",104,"$53,000",4,6/5,10/15
190,Piku,Yash,"$1,801,807",124,"$941,490",119,5/8,5/17
191,The Vatican Tapes,LGF,"$1,784,763",427,"$832,271",427,7/24,8/20
192,Son of Saul,SPC,"$1,777,043",180,"$37,930",3,12/18,5/19
193,Meet the Patels,Alc,"$1,700,681",101,"$72,180",5,9/11,12/10
194,Back to the Future Day,UHE,"$1,650,000","1,815",N/A,N/A,10/21,10/21
195,The Letters,Free,"$1,647,416",886,"$700,683",886,12/4,1/28
196,The Diary of a Teenage Girl,SPC,"$1,477,002",795,"$52,334",4,8/7,10/25
197,I (2015),AaF,"$1,449,232",222,"$771,312",222,1/13,1/19
198,Infinitely Polar Bear,SPC,"$1,430,655",110,"$47,000",5,6/19,10/15
199,Mr. Six,CL,"$1,415,450",32,"$332,117",30,12/24,1/31
200,99 Homes,BG,"$1,411,927",691,"$32,253",2,9/25,11/26
201,Welcome Back,Eros,"$1,388,365",135,"$714,235",135,9/4,10/4
202,The Cokeville Miracle,Excel,"$1,348,456",51,"$159,468",51,6/5,10/11
203,The Salt of the Earth,SPC,"$1,343,349",80,"$44,900",4,3/27,8/9
204,Iris (2015),Magn.,"$1,310,678",92,"$57,254",6,4/29,9/3
205,Lost in Hong Kong,WGUSA,"$1,302,281",34,"$537,736",28,9/25,10/18
206,The Wolfpack,Magn.,"$1,301,696",94,"$43,920",2,6/12,10/15
207,Goodbye Mr. Loser,CL,"$1,293,626",40,"$363,949",22,10/9,11/26
208,'71,RAtt.,"$1,270,847",121,"$55,761",4,2/27,5/7
209,Mojin: The Lost Legend,WGUSA,"$1,243,810",27,"$279,974",22,12/18,1/17
210,Beyond the Mask,Gathr,"$1,236,094",181,"$18,801",17,4/6,8/20
211,Child 44,LG/S,"$1,224,330",510,"$621,812",510,4/17,5/14
212,Veteran,CJ,"$1,200,627",46,"$371,754",46,9/18,10/22
213,Goodnight Mommy,RTWC,"$1,178,196",90,"$63,641",4,9/11,11/22
214,Black Sea,Focus,"$1,171,559",353,"$37,675",5,1/23,2/26
215,Miss You Already,RAtt.,"$1,162,653",384,"$552,506",384,11/6,11/22
216,Where Hope Grows,RAtt.,"$1,156,000",276,"$457,287",276,5/15,6/18
217,Macbeth (2015),Wein.,"$1,110,707",108,"$69,833",5,12/4,2/25
218,The Overnight,Orch.,"$1,110,522",307,"$53,022",3,6/19,9/3
219,Timbuktu,Cohen,"$1,076,075",56,"$45,110",4,1/28,5/28
220,Dior and I,Orch.,"$1,028,953",105,"$45,772",2,4/10,8/6
221,5 Flights Up,Focus,"$1,020,921",94,"$238,491",87,5/8,6/25
222,Big Stone Gap,PH,"$1,009,301",280,"$362,422",280,10/9,12/24
223,Faith of Our Fathers,PFR,"$1,004,105",344,"$438,000",344,7/1,9/3
224,Gett: The Trial of Viviane Amsalem,MBox,"$988,150",74,"$24,210",2,2/13,6/1
225,The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,"$944,193",76,N/A,N/A,5/1,9/10
226,Patterns of Evidence: The Exodus,Thinking Man,"$925,576",652,N/A,N/A,1/19,1/29
227,Boruto: Naruto the Movie,Elev.,"$919,651",358,"$380,419",140,10/10,12/17
228,Singh is Bling,Eros,"$919,095",135,"$487,040",135,10/2,10/25
229,Best of Enemies,Magn.,"$892,802",69,"$50,378",3,7/31,11/12
230,ABCD (Any Body Can Dance) 2,UTV,"$892,133",146,"$444,195",146,6/19,7/16
231,Mustang,Cohen,"$845,464",57,"$20,321",3,11/20,4/21
232,Sleeping with Other People,IFC,"$819,431",392,"$89,102",5,9/11,11/12
233,The Wrecking Crew,Magn.,"$801,606",65,"$56,858",7,3/13,7/23
234,Labyrinth of Lies,SPC,"$794,452",72,"$22,101",3,9/30,3/3
235,Seymour: An Introduction,IFC,"$743,541",64,"$26,587",2,3/13,5/21
236,Once I Was a Beehive,Purd.,"$732,655",32,"$48,409",19,8/14,11/30
